location,type,latitude,longitude
Parker Ranch (Big Island),Rural,20.0328,-155.625
Kīlauea Lighthouse (Kauai),Coastal,22.2128,-159.4483
Laupāhoehoe Point (Big Island),Coastal,19.2194,-155.2531
Pele's Pit (Big Island),Rural,19.3497,-155.0569
Mokulua Islands (Oahu),Coastal,21.3878,-157.7211
Haleakala Crater (Maui),Rural,20.7189,-156.255
Makai Research Pier (Kauai),Coastal,22.0431,-159.3589
Ke’e Beach (Kauai),Coastal,22.2031,-159.5383
Moku’ula (Maui),Coastal,20.8756,-156.6842
Kahana Bay (Oahu),Coastal,21.5378,-157.8525
Sandwich Isle Coffee Farm (Big Island),Rural,19.6794,-155.9736
Puako Bay (Big Island),Coastal,20.0172,-155.875
Kekaha Beach (Kauai),Coastal,22.0947,-159.6983
Waimanalo Beach (Oahu),Coastal,21.3408,-157.69
Old Kona Airport State Recreation Area (Big Island),Coastal,19.6403,-156.9961
Maui’s Upcountry (Maui),Rural,20.7236,-156.3442
